id_partida,ano_copa,data_hora,id_fase,fase_grupo,tipo_fase,id_estadio,id_time1,time1,img_time1,gols_time1,placar,gols_time2,id_time2,time2,img_time2,win_conditions,publico_partida,arbitro,assistente1,assistente2
4000,1998,10 Jun 1998 - 17:30 ,2010,Grupo A,Fase de Grupos,124,4,BRA,https://api.fifa.com/api/v3/picture/flags-sq-5/BRA,2,2-1,1,72,SCO,https://api.fifa.com/api/v3/picture/flags-sq-5/SCO, ,80000,GARCIA ARANDA Jose Maria (ESP),TRESACO GRACIA Fernando (ESP),ARANGO Jorge Luis (COL)
8725,1998,10 Jun 1998 - 21:00 ,2010,Grupo A,Fase de Grupos,125,54,MAR,https://api.fifa.com/api/v3/picture/flags-sq-5/MAR,2,2-2,2,59,NOR,https://api.fifa.com/api/v3/picture/flags-sq-5/NOR, ,29800,ANPRASERT Pirom (THA),ABDUL HAMID Halim (MAS),WICKRAMATUNGA Nimal (SRI)
8726,1998,11 Jun 1998 - 17:30 ,2020,Grupo B,Fase de Grupos,19,2,ITA,https://api.fifa.com/api/v3/picture/flags-sq-5/ITA,2,2-2,2,7,CHI,https://api.fifa.com/api/v3/picture/flags-sq-5/CHI, ,31800,BOUCHARDEAU Lucien (NIG),DANTE Dramane (MLI),MANSRI Mohamed (TUN)
8727,1998,11 Jun 1998 - 21:00 ,2020,Grupo B,Fase de Grupos,15,26,CMR,https://api.fifa.com/api/v3/picture/flags-sq-5/CMR,1,1-1,1,21,AUT,https://api.fifa.com/api/v3/picture/flags-sq-5/AUT, ,33500,GONZALEZ CHAVEZ Epifanio (PAR),GALVAN Celestino (PAR),SALINAS Reynaldo (HON)
8728,1998,12 Jun 1998 - 14:30 ,2040,Grupo D,Fase de Grupos,125,61,PAR,https://api.fifa.com/api/v3/picture/flags-sq-5/PAR,0,0-0,0,24,BUL,https://api.fifa.com/api/v3/picture/flags-sq-5/BUL, ,29800,ALZEID Abdulrahman (KSA),SALIE Achmat (RSA),GHADANFARI Hussain (KUW)
8729,1998,12 Jun 1998 - 17:30 ,2030,Grupo C,Fase de Grupos,126,71,KSA,https://api.fifa.com/api/v3/picture/flags-sq-5/KSA,0,0-1,1,35,DEN,https://api.fifa.com/api/v3/picture/flags-sq-5/DEN, ,38100,CASTRILLI Javier (ARG),ROSSI Claudio (ARG),DIAZ GALVEZ Jorge (CHI)
8730,1998,12 Jun 1998 - 21:00 ,2030,Grupo C,Fase de Grupos,16,3,FRA,https://api.fifa.com/api/v3/picture/flags-sq-5/FRA,3,3-0,0,15,RSA,https://api.fifa.com/api/v3/picture/flags-sq-5/RSA, ,55000,REZENDE Marcio (BRA),PINTO Arnaldo (BRA),GONZALES Merere (TRI)
8731,1998,13 Jun 1998 - 14:30 ,2040,Grupo D,Fase de Grupos,127,12,ESP,https://api.fifa.com/api/v3/picture/flags-sq-5/ESP,2,2-3,3,57,NGA,https://api.fifa.com/api/v3/picture/flags-sq-5/NGA, ,35500,BAHARMAST Esse (USA),TORRES ZUNIGA Luis (CRC),DUPANOV Yuri (BLR)
8732,1998,13 Jun 1998 - 17:30 ,2050,Grupo E,Fase de Grupos,128,14,KOR,https://api.fifa.com/api/v3/picture/flags-sq-5/KOR,1,1-3,3,9,MEX,https://api.fifa.com/api/v3/picture/flags-sq-5/MEX, ,39100,BENKO Gunter (AUT),FRED Lencie (VAN),SCHNEIDER Erich (GER)
8733,1998,13 Jun 1998 - 21:00 ,2050,Grupo E,Fase de Grupos,124,55,NED,https://api.fifa.com/api/v3/picture/flags-sq-5/NED,0,0-0,0,22,BEL,https://api.fifa.com/api/v3/picture/flags-sq-5/BEL, ,77000,COLLINA Pierluigi (ITA),MAZZEI Gennaro (ITA),ZAMMIT Emanuel (MLT)
8734,1998,14 Jun 1998 - 14:30 ,2080,Grupo H,Fase de Grupos,15,11,ARG,https://api.fifa.com/api/v3/picture/flags-sq-5/ARG,1,1-0,0,17,JPN,https://api.fifa.com/api/v3/picture/flags-sq-5/JPN, ,33500,VAN DER ENDE Mario (NED),VAN DEN BROECK Marc (BEL),FOLEY Eddie (IRL)
8735,1998,14 Jun 1998 - 17:30 ,2060,Grupo F,Fase de Grupos,129,83,YUG,https://api.fifa.com/api/v3/picture/flags-sq-5/YUG,1,1-0,0,48,IRN,https://api.fifa.com/api/v3/picture/flags-sq-5/IRN, ,30600,TEJADA NORIEGA Alberto (PER),POWELL Owen (JAM),POCIEGIEL Jacek (POL)
8736,1998,14 Jun 1998 - 21:00 ,2080,Grupo H,Fase de Grupos,126,51,JAM,https://api.fifa.com/api/v3/picture/flags-sq-5/JAM,1,1-3,3,31,CRO,https://api.fifa.com/api/v3/picture/flags-sq-5/CRO, ,38100,MELO PEREIRA Vitor (POR),GRIGORESCU Nicolae (ROU),POUDEVIGNE Jacques (FRA)
8740,1998,15 Jun 1998 - 14:30 ,2070,Grupo G,Fase de Grupos,16,8,ENG,https://api.fifa.com/api/v3/picture/flags-sq-5/ENG,2,2-0,0,79,TUN,https://api.fifa.com/api/v3/picture/flags-sq-5/TUN, ,55000,OKADA Masayoshi (JPN),JEON Young Hyun (KOR),DANTE Dramane (MLI)
8739,1998,15 Jun 1998 - 17:30 ,2070,Grupo G,Fase de Grupos,128,70,ROU,https://api.fifa.com/api/v3/picture/flags-sq-5/ROU,1,1-0,0,29,COL,https://api.fifa.com/api/v3/picture/flags-sq-5/COL, ,39100,LIM KEE CHONG An Yan (MRI),AL MUSAWI Mohamed (OMA),ABDUL HAMID Halim (MAS)
8738,1998,15 Jun 1998 - 21:00 ,2060,Grupo F,Fase de Grupos,12,10,GER,https://api.fifa.com/api/v3/picture/flags-sq-5/GER,2,2-0,0,13,USA,https://api.fifa.com/api/v3/picture/flags-sq-5/USA, ,45500,BELQOLA Said (MAR),MANSRI Mohamed (TUN),NILSSON Mikael (SWE)
